"X","id","source","source_id","bioguide_id","text","policy","policy_area","policy_legislative_discussion","policy_explanation","attack","attack_personal","attack_policy","attack_target","attack_explanation","outcome_bipartisanship","outcome_creditclaiming","outcome_explanation","date","bipartisanship_explanation","creditclaiming_explanation","year","first_name","last_name","state","type","tweet_id","url"
611947,1034557,"newsletters",10697,"J000302","The 32nd Annual Johnstown Showcase for Commerce offered a chance to see the incredible work being done by companies supporting the Department of Defense in Cambria County. From fighter jets, to GPS technologies used by the US Navy, to the trucks our service members use each day, the companies in Johnstown are doing incredible work to support our nation's armed forces.",1,"['Armed Forces and National Security']",0,"Mentions support for armed forces, no specific legislation.",0,0,0,NA,"The text is complimentary and positive, describing the contributions of companies in Johnstown to the Department of Defense. It does not contain any negative language, personal attacks, or policy criticism.",0,0,"No mention of political collaboration or individual accomplishment.","2023-06-04","No mention of political collaboration or individual accomplishment.","No mention of political collaboration or individual accomplishment.",2023,"John","Joyce","PA","rep",1578092687097569280,""
78307,1261847,"floor",39747,"C001075","So let's quickly review. If you don't want to support Israel, if you don't want to confront Putin, if you don't want to confront the Chinese Communist Party and you would rather block this bill from supporting them by saying there is nothing to control the southern border, but you prevent an amendment from being passed that would control the southern border, then your politics are straight.",1,"['Foreign Trade and International Finance', 'International Affairs', 'Immigration']",1,"Text references blocking a bill and an amendment.",0,0,1,NA,"The text is a criticism of certain political positions or stances regarding international affairs and border control, but it does not personally attack an individual or a political party's character, integrity, intelligence, morality, or patriotism. It is aimed at criticizing the policy positions without making personal or derogatory statements about individuals or parties.",0,0,"Text lacks bipartisan or credit-claiming elements.","2024-02-11","Text lacks bipartisan or credit-claiming elements.","Text lacks bipartisan or credit-claiming elements.",2024,"Bill","Cassidy","LA","sen",1567205598059532288,""
350491,57876,"statements",10120,"K000382","It is so important that we give them the recognition and support they have earned and deserve,” said Kuster. “Thank you to all the veterans and families who spoke with me today at the NH Veterans Home – it’s the honor of my life to bring their voices to Congress and to fight for our veterans and servicemembers.",1,"['Armed Forces and National Security', 'Families']",0,"Discusses support for veterans and servicemembers.",0,0,0,NA,"The text is a statement of gratitude and support towards veterans and their families. There is no personal attack or criticism of policy, nor is there any negative language directed at a person or political party.",0,1,"Politician claims effort in supporting veterans.","2023-11-10","Politician claims effort in supporting veterans.","Politician claims effort in supporting veterans.",2023,"Ann","Kuster","NH","rep",1575847947702390784,""
437737,404431,"floor",11206,"M001195","She fled communism to enjoy freedom and opportunity in America. Today, over 60 years later, socialist policies have kept Cuba in economic ruin.",1,"['Economics and Public Finance', 'International Affairs']",0,"References economic policies and international relations with Cuba.",0,0,1,NA,"The text is not a personal attack because it does not target the character, integrity, intelligence, morality, or patriotism of a specific person or political party. It is policy criticism, as it critiques socialist policies and their impact on Cuba's economy.",0,0,"Text discusses political systems, no bipartisanship or credit-claiming mentioned.","2023-02-02","Text discusses political systems, no bipartisanship or credit-claiming mentioned.","Text discusses political systems, no bipartisanship or credit-claiming mentioned.",2023,"Alexander","Mooney","WV","rep",1573781569487224832,""
10194,1394354,"newsletters",23262,"C000174","We must also ensure that we are living up to our sacred obligation to care for our servicemen and women, along with their families, when they return home. That's why I've dedicated so much of my career to improving access to quality health care at our VA hospitals and providing servicemembers and veterans with the resources they need to be successful back home.",1,"['Armed Forces and National Security', 'Health']",0,"Discusses veterans' healthcare, no specific legislation mentioned.",0,0,0,NA,"The text is neither a personal attack nor criticism of policy. It is a statement expressing commitment to improving services for servicemen and women and veterans, which does not target any individual or political party with negative language.",0,1,"Text claims career dedication, no bipartisan mention.","2024-03-29","Text claims career dedication, no bipartisan mention.","Text claims career dedication, no bipartisan mention.",2024,"Thomas","Carper","DE","sen",1569320388554883072,""
647717,1584257,"newsletters",26224,"K000399","If you or someone you know needs assistance, please call my office at (757) 364-7650 or visit to get in touch with us! Increasing Access to Childcare for Military Families Did you know that in 2021, the Department of Defense had only 727 available family childcare providers but needed 1,433 providers to meet the demands of military communities?",1,"['Families', 'Armed Forces and National Security']",NA,"The text discusses the lack of available childcare providers for military families, which touches on both family welfare and military community support.",NA,0,0,"","The text does not contain any attacks on a person or political party.",0,0,"","2024-06-03","The text does not mention collaboration or cooperation between political parties.","The text does not claim credit for passing legislation or government spending.",2024,"Jennifer","Kiggans","VA","rep",1567644989550694400,""
471057,1113482,"newsletters",6109,"B001302","The 30-minute documentary features footage from private ranches along the border, the Darien Gap in Panama, and interviews with members of Congress, Border Patrol, local and state law enforcement, and much more. It addresses how President Biden's border crisis began, its consequences, and solutions to address the crisis.",1,"['Immigration', 'Armed Forces and National Security']",0,"Discusses immigration and border security, no specific legislation mentioned.",0,0,1,NA,"The text is a description of a documentary that discusses President Biden's border policy. It refers to a 'border crisis' which is a criticism of the policy and its effects, not an attack on President Biden's character, integrity, intelligence, morality, or patriotism. Therefore, the text does not make a personal attack but does offer policy criticism.",0,0,"Documentary description; no legislative collaboration or credit-claiming mentioned.","2023-02-17","Documentary description; no legislative collaboration or credit-claiming mentioned.","Documentary description; no legislative collaboration or credit-claiming mentioned.",2023,"Andy","Biggs","AZ","rep",1567220014557675520,""
155947,1443624,"floor",45322,"M001137","This would also let them know when we are at the table--those that are sitting across that table--that they have no authority to relax or adjust sanctions. It would subject any negotiations to undue congressional partisanship.",1,"['Foreign Trade and International Finance', 'Government Operations and Politics']",0,"Refers to sanctions and congressional impact on negotiations.",0,0,1,NA,"The text is discussing the process of negotiation and the influence of congressional partisanship on it. It is criticizing the potential for undue congressional influence on negotiations, but it does not attack the character, integrity, intelligence, morality, or patriotism of a person or a political party. Therefore, it is not a personal attack but rather criticism of a policy or procedural approach.",0,0,"Text discusses partisanship and negotiations, no collaboration or credit-claiming mentioned.","2024-04-17","Text discusses partisanship and negotiations, no collaboration or credit-claiming mentioned.","Text discusses partisanship and negotiations, no collaboration or credit-claiming mentioned.",2024,"Gregory","Meeks","NY","rep",1584581424967208960,""
569744,1257044,"floor",39803,"V000137","In foreign affairs, discourse and reality are sometimes interwoven in complicated and nuanced ways. Conflict can arise as much from actual strategic disagreements, security considerations, and national interests as from discourse and perceptions.",1,"['International Affairs', 'Armed Forces and National Security']",0,"Discusses national security and international affairs.",0,0,0,NA,"The provided text discusses the nature of foreign affairs in a general, abstract manner without making any attacks on a person or a political party. It also does not contain criticism of specific policies, but rather is a broad statement on the complexity of international relationships and the role of discourse and perception in conflicts.",0,0,"Text discusses foreign affairs, not bipartisanship or credit-claiming.","2024-02-12","Text discusses foreign affairs, not bipartisanship or credit-claiming.","Text discusses foreign affairs, not bipartisanship or credit-claiming.",2024,"J.D. (James)","Vance","OH","sen",1578175686656765952,""
471451,81714,"statements",13105,"K000389","Germany and Japan also agreed to impose restraints on their exports to the US market. Although these agreements were voluntarily negotiated, Germany and Japan were told in no uncertain terms what the alternative would be: the United States would have no choice, in the absence of an accord, but to act unilaterally both to curtail German and Japanese imports and to devalue the then overpriced dollar.",1,"['Foreign Trade and International Finance']",0,"Discusses foreign trade agreements, no specific legislation mentioned.",0,0,1,NA,"The text discusses the actions of Germany and Japan in relation to trade agreements and potential consequences laid out by the United States. It does not attack the character, integrity, intelligence, morality, or patriotism of a person or political party. It is a criticism of the policies or actions taken by these countries in an economic context.",0,0,"Text does not mention US parties or politicians.","2023-12-20","Text does not mention US parties or politicians.","Text does not mention US parties or politicians.",2023,"Ro","Khanna","CA","rep",1567942554724990976,""
692506,1123300,"newsletters",5539,"C001039","Free trade must also be fair trade, and we should not abandon our own production capabilities in favor of cheap imports that destroy our domestic markets and American producers' livelihoods. Food security is national security, and I'm pleased to join Rep. Kildee on a bipartisan resolution that levels the playing field and preserves our family operations,"" Congresswoman Cammack stated.",1,"['Agriculture and Food', 'Foreign Trade and International Finance']",1,"Discusses trade policy and specific resolution.",0,0,1,NA,"The text criticizes the impact of trade policies on domestic markets and American producers, advocating for fair trade and food security as elements of national security. It does not attack the character, integrity, intelligence, morality, or patriotism of a person or political party.",1,1,"Mentions bipartisan resolution and personal involvement.","2023-02-03","Mentions bipartisan resolution and personal involvement.","Mentions bipartisan resolution and personal involvement.",2023,"Katherine","Cammack","FL","rep",1573302488849321984,""
38425,1261574,"floor",39745,"G000359","We passed a military budget that goes from 292 ships in 2030 to 290, not 450. What does it take to get 450 ships in the Navy?",1,"['Armed Forces and National Security']",1,"Discusses military budget and naval ship count.",0,0,1,NA,"The text is not making a personal attack on any individual or political party. It is expressing criticism of a military policy decision regarding the number of ships in the Navy.",0,0,"No mention of collaboration or credit for actions.","2024-02-11","No mention of collaboration or credit for actions.","No mention of collaboration or credit for actions.",2024,"Lindsey","Graham","SC","sen",1567260778176053248,""
187978,1434080,"floor",44818,"S000148","She told me the equipment that was destroyed is so large--the kinds of transformers and other machineries--that it takes a long time to rebuild them and replace them. The US Ambassador reiterated President Zelenskyy's point that Ukraine will lose this war unless it gets the defense materials, the ammunition, and the anti-aircraft resources it needs immediately.",1,"['Armed Forces and National Security', 'International Affairs']",0,"Discusses military aid and international relations, no specific legislation.",0,0,0,NA,"The text describes the situation in Ukraine and conveys the need for defense materials and resources. It neither makes a personal attack nor criticizes a policy, nor does it target a person or political party.",0,0,"Text discusses neither bipartisanship nor credit-claiming.","2024-04-15","Text discusses neither bipartisanship nor credit-claiming.","Text discusses neither bipartisanship nor credit-claiming.",2024,"Charles","Schumer","NY","sen",NA,""
601056,1247697,"newsletters",21796,"J000307","I joined Carl Higbie to discuss these national security risks and discuss solutions to ensure America is prepared and ready to face any threats that arise. Stay in touch: Maintaining an open line of communication is a priority for my office.",1,"['Armed Forces and National Security']",0,"Discusses national security but no specific legislation.",0,0,0,NA,"The text is simply stating participation in a discussion on national security risks and expressing an intention to maintain open communication. There are no attacks or criticisms present.",0,0,"No mention of cross-party cooperation or personal accomplishments.","2024-02-17","No mention of cross-party cooperation or personal accomplishments.","No mention of cross-party cooperation or personal accomplishments.",2024,"John","James","MI","rep",1569309858700173312,""
486386,1789750,"statements",34281,"T000278","With nearly half a million veterans in the state of Alabama, I know how critical it is that they receive their health care and benefits quickly. To ensure this remains the case in Alabama and across the country, we can’t have a VA that runs the risk of financial insolvency — especially as a result of political tactics in an election year.",1,"['Armed Forces and National Security', 'Health']",NA,"The text discusses veterans' health care and benefits and the financial stability of the VA, which relates to armed forces and health policy.",NA,0,1,"","The text criticizes potential political tactics that could lead to VA's financial insolvency impacting veterans' care.",0,0,"","2024-08-09","The text does not discuss bipartisanship or working across the aisle.","The text does not claim credit for any legislation or accomplishment.",2024,"Tommy","Tuberville","AL","sen",1566916849316630528,""
146578,168803,"statements",8986,"G000568","Why wouldn’t they? From a foreign viewpoint, our country’s President and his Administration are too weak to do what is necessary to defend Taiwan and other allies in the South Pacific.",1,"['Armed Forces and National Security', 'Foreign Trade and International Finance', 'International Affairs']",0,"The text discusses national defense and international relations.",0,0,1,NA,"The statement is a criticism of the President and his Administration's policy or perceived stance on defending Taiwan and other allies. It does not attack the character, integrity, intelligence, morality, or patriotism of the President or his Administration, but rather criticizes their strength and policy decisions in a geopolitical context.",0,0,"No mention of collaboration or credit for actions.","2023-09-08","No mention of collaboration or credit for actions.","No mention of collaboration or credit for actions.",2023,"H.","Griffith","VA","rep",1565875275769978880,""
545141,164722,"floor",30591,"H001079","The work that Jack has done is necessary to help younger generations understand the commitments and sacrifices made by our Nation's veterans. Preserving the oral histories of those who served helps us better understand the challenging circumstances they underwent and the emotional impacts they experienced during that time.",1,"['Armed Forces and National Security']",0,"Discusses veterans, no specific legislation.",0,0,0,NA,"The text does not make a personal attack; it expresses a positive view of Jack's work. There is no attack on character, integrity, intelligence, morality, or patriotism, and the text does not criticize policy or legislation.",0,0,"No mention of political collaboration or credit for legislation.","2023-11-08","No mention of political collaboration or credit for legislation.","No mention of political collaboration or credit for legislation.",2023,"Cindy","Hyde-Smith","MS","sen",1569331750584856576,""
624233,945071,"newsletters",16096,"F000468","Unfortunately, this year's Department of Defense appropriations bill-politicized with irrelevant, harmful provisions instead of investing in our national security-undermines our military readiness and recruitment and reverses bipartisan policies that support our servicemembers and their families. It bans travel expenses for service members and their families forced to travel for reproductive health care.",1,"['Armed Forces and National Security', 'Health']",1,"Discusses defense appropriations bill and health care policy.",0,0,1,NA,"The text is not a personal attack; it criticizes a policy contained within the Department of Defense appropriations bill. It does not target the character, integrity, intelligence, morality, or patriotism of a person or a political party. Instead, it focuses on the implications of the bill for military readiness, recruitment, and the reversal of bipartisan policies, as well as the impact on service members and their families regarding travel expenses for reproductive health care.",0,0,"No collaboration or accomplishments mentioned.","2023-09-30","No collaboration or accomplishments mentioned.","No collaboration or accomplishments mentioned.",2023,"Lizzie","Fletcher","TX","rep",1579881233114226688,""
352261,1050003,"newsletters",9872,"K000382","Too many of our veterans are left without access to the health care and benefits they have earned when they return home - that's unacceptable. That's why I'm urging the Secretary of Veterans Affairs to include veterans who served in Kosovo in the benefits covered by the PACT Act so our service members can get the care they need.",1,"['Armed Forces and National Security', 'Health']",1,"Discusses veterans' health policy and specific legislation.",0,0,1,NA,"The text is not a personal attack; it addresses the issue of veterans not receiving adequate health care and benefits. It is a criticism of policy regarding veteran affairs and the administration of benefits, specifically mentioning the PACT Act and urging an action to include veterans who served in Kosovo.",0,1,"No mention of cross-party cooperation; text claims action by the speaker.","2023-05-19","No mention of cross-party cooperation; text claims action by the speaker.","No mention of cross-party cooperation; text claims action by the speaker.",2023,"Ann","Kuster","NH","rep",1575198789325193216,""
281136,334547,"floor",21298,"T000250","We need more B-21-type efforts to leverage the best of our technological advancements to upgrade other aspects of our Nation's defense, and we need them quickly. The war in Ukraine, as well as war games addressing the defense of Taiwan, have made clear the cost of a major conflict, and if we hope to avoid such conflicts and deter future attacks against our country or our allies, we need to make restoring our readiness a top priority.",1,"['Armed Forces and National Security']",0,"Discusses national defense priorities.",0,0,1,NA,"The text is a policy criticism regarding the urgency of upgrading the United States' defense technology in response to global conflicts. It does not attack a person or political party's character, integrity, intelligence, morality, or patriotism.",0,0,"No mention of collaboration or accomplishments.","2023-07-20","No mention of collaboration or accomplishments.","No mention of collaboration or accomplishments.",2023,"John","Thune","SD","sen",1574765009116315648,""
298471,1265471,"newsletters",21368,"L000583","Read the full letter here . Rep. Loudermilk Joins Bipartisan Push to Block US Software to TikTok This week, Rep. Barry Loudermilk (GA-11) joined a bipartisan group of lawmakers in a letter calling for the Secretary of Commerce to add ByteDance - TikTok's parent company - to the Commerce Department's foreign entity list.",1,"['Commerce', 'Science, Technology, Communications', 'International Affairs']",0,"Discussion of government action on technology company.",0,0,1,NA,"The text is not a personal attack as it does not target the character, integrity, intelligence, morality, or patriotism of a person or a political party. It is a criticism of a policy or action, specifically the use of software by TikTok, which prompts a bipartisan group of lawmakers to push for a change by adding ByteDance to the Commerce Department's foreign entity list.",1,0,"Mentions bipartisan group of lawmakers.","2024-02-09","Mentions bipartisan group of lawmakers.","Mentions bipartisan group of lawmakers.",2024,"Barry","Loudermilk","GA","rep",1570838421421297664,""
495302,1455527,"floor",45948,"C001039","I noticed that my colleague--again, who I deeply respect--mentioned that part of that is for security, but what about the rest? Or the $481 million for refugee and entrance assistance when we have a border crisis that has resulted in some of the most egregious public health, public safety, humanitarian, and national security crises in American history.",1,"['Armed Forces and National Security', 'Emergency Management', 'Immigration', 'Health']",0,"Discusses national security, public health, immigration, without specific legislation.",0,0,1,NA,"The text is criticizing the allocation of funds for refugee and entrance assistance in the context of a border crisis. It does not attack the character, integrity, intelligence, morality, or patriotism of a person or a political party. It raises questions about budget priorities amidst a crisis, which is a form of policy criticism.",0,0,"No mention of collaboration or credit for actions.","2024-04-20","No mention of collaboration or credit for actions.","No mention of collaboration or credit for actions.",2024,"Katherine","Cammack","FL","rep",1.584951890546e+18,""
368878,1098843,"newsletters",6933,"W000814","Passing this legislation is essential to hold Communist China accountable for unleashing COVID on the world. The Department of Energy has reportedly concluded that COVID-19 most likely originated as a lab leak in Wuhan, China.",1,"['International Affairs', 'Health']",1,"References legislation and international health accountability.",0,0,1,NA,"The text criticizes a policy, suggesting that legislation is needed to hold China accountable for the COVID-19 pandemic. It references a conclusion reportedly made by the Department of Energy about the origins of the virus. There is no personal attack on the character, integrity, intelligence, morality, or patriotism of any person or political party.",0,0,"Text lacks bipartisan cooperation or credit-claiming language.","2023-03-10","Text lacks bipartisan cooperation or credit-claiming language.","Text lacks bipartisan cooperation or credit-claiming language.",2023,"Randy","Weber","TX","rep",1572246993149526016,""
838517,1024653,"newsletters",11213,"L000599","When so much of the discourse on national politics is division and gridlock, the broad bipartisan support for the Special Envoy for the Abraham Accords Act shows that both parties can still come together and do something really good. We are closer to a lasting, long-term peace in the Middle East than we have ever been.",1,"['International Affairs']",1,"Discusses support for specific legislation.",0,0,0,NA,"The text does not contain a personal attack; rather, it expresses a positive view on bipartisan support for an act and optimism for peace in the Middle East. There is no criticism of policy or negative opinion about a person's policy views or policy itself.",1,0,"Text describes bipartisan support, no credit-claiming.","2023-06-16","Text describes bipartisan support, no credit-claiming.","Text describes bipartisan support, no credit-claiming.",2023,"Michael","Lawler","NY","rep",1573372825657905152,""
304334,1009046,"newsletters",12193,"W000809","I also couldn't miss giving an update on the FMS manned flying mission at Ebbing, which will bring the sound of freedom back to the River Valley. This mission is a multi-million-dollar boom for the regional economy and makes Arkansas' Third home to key national security developments.",1,"['Armed Forces and National Security', 'Economics and Public Finance']",0,"Discusses military mission and economic impact.",0,0,0,NA,"The text provides information about the FMS manned flying mission at Ebbing and discusses its economic benefits and significance to national security. It does not contain any personal attacks or policy criticisms.",0,1,"Text highlights an accomplishment but lacks bipartisan context.","2023-07-07","Text highlights an accomplishment but lacks bipartisan context.","Text highlights an accomplishment but lacks bipartisan context.",2023,"Steve","Womack","AR","rep",1575166171896086528,""
1104,1334629,"statements",14245,"B000944","This bill would take the action Ohio workers desperately need to level the playing field with Mexico.” “Mexico’s violation of its 2019 agreement with the United States has released a surge of steel products into America that’s hurt our workers and made us less secure. It’s past time for more negotiation.",1,"['Labor and Employment', 'Foreign Trade and International Finance', 'Armed Forces and National Security']",1,"References a bill and discusses employment and trade policy.",0,0,1,NA,"The text criticizes a policy situation regarding trade agreements with Mexico and its impact on Ohio workers. It does not attack the character, integrity, intelligence, morality, or patriotism of a person or political party.",0,0,"No mention of cross-party cooperation or specific achievements.","2024-03-12","No mention of cross-party cooperation or specific achievements.","No mention of cross-party cooperation or specific achievements.",2024,"Sherrod","Brown","OH","sen",1566143401686335488,""
451632,1305433,"floor",43251,"R000614","I don't know how to go back to the people who I represent in Texas and tell them that while the National Guard had 100 illegal aliens bum- rush them in El Paso, while we have young women like Laken Riley getting killed by somebody released on mass parole, while a 2-year-old right outside of the Nation's Capital gets killed by someone let out on mass parole by this administration ignoring the laws, endangering our people, undermining our sovereignty. I want to know, for the life of me, how a single Republican can look with a straight face at the people who they represent and say that funding is consistent with their oath to the Constitution, consistent with their duty to the people they represent, consistent with the fiscal responsibility they campaign on, consistent with the border security that they campaign on.",1,"['Immigration', 'Crime and Law Enforcement', 'Armed Forces and National Security']",0,"Discusses immigration, crime enforcement, and border security.",0,0,1,NA,"The text is a criticism of policy or legislation and not an attack on a person or a political party. The text criticizes the current administration's policies on parole and border security, and questions Republican support for such policies, in the context of their oath to the Constitution and fiscal responsibility. There is no direct attack on the character, integrity, intelligence, morality, or patriotism of a person or a political party.",0,0,"Text focuses on criticism, no collaboration or accomplishments mentioned.","2024-03-21","Text focuses on criticism, no collaboration or accomplishments mentioned.","Text focuses on criticism, no collaboration or accomplishments mentioned.",2024,"Chip","Roy","TX","rep",1583806249598009344,""
76680,1823623,"statements",35360,"C001047","$1,500,000 to the Cabell County Emergency Response Center (Huntington, WVa.) for dispatch console upgrades. $1,394,000 to the University of Charleston (Charleston/Beckley, WVa.) for its campus security upgrades.",1,"['Emergency Management', 'Armed Forces and National Security']",NA,"The funding relates to emergency response and campus security upgrades, fitting into Emergency Management and National Security policy areas.",NA,0,0,"","The text provides information about funding allocations for emergency response and security upgrades without any criticism.",0,0,"","2024-09-04","The text does not mention or imply any bipartisan efforts or collaboration.","The text does not attribute the funding or upgrades to the efforts of a particular politician or group.",2024,"Shelley","Capito","WV","sen",1572275245217873920,""
317310,1662313,"newsletters",27817,"N000189"," The CCP's blend of geopolitics and corruption violates international law and has caused immense suffering in Central Washington, the United States, and across the globe. Weekly Column - July 11, 2024 Uncovering the CCP's Role in the Fentanyl Crisis During my time in Congress representing Washington's 4th Congressional District, addressing the fentanyl crisis has been one of my top priorities.",1,"[""Health"", ""Crime and Law Enforcement"", ""International Affairs""]",NA,"The text discusses the fentanyl crisis, which relates to public health, criminal activities involving drugs, and international issues involving the CCP.",NA,0,1,"","The text criticizes the CCP's involvement in the fentanyl crisis and its impact on global suffering.",0,1,"","2024-07-11","The text does not discuss bipartisanship, collaboration, cooperation, or compromise.","The speaker mentions that addressing the fentanyl crisis has been a top priority during their time in Congress.",2024,"Dan","Newhouse","WA","rep",1582481345074241536,""
688632,306756,"floor",25205,"B000825","From the botched Afghanistan withdrawal that left 13 American soldiers dead to the implementation of a woke agenda that has weakened our military and caused recruitment to suffer, bureaucrats like Norvel Dillard have continued to put a leftist agenda ahead of our national security. The Federal Government's obsession with diversity, equity, and inclusion needs to come to an end, especially at DOD, where our brave servicemembers volunteer to put themselves in harm's way to fight for freedom.",1,"['Armed Forces and National Security']",0,"Mentions national security and military issues.",0,0,1,NA,"The text criticizes specific actions (the Afghanistan withdrawal) and policies (implementation of a 'woke agenda') that the speaker believes have negatively affected the military and national security. While it mentions a bureaucrat by name, Norvel Dillard, it does not attack their character, integrity, intelligence, morality, or patriotism directly but rather criticizes the policies that the person has supported. The focus remains on policy criticism rather than personal attacks.",0,0,"Text criticizes without bipartisan or credit-claiming elements.","2023-09-27","Text criticizes without bipartisan or credit-claiming elements.","Text criticizes without bipartisan or credit-claiming elements.",2023,"Lauren","Boebert","CO","rep",1575983075413983232,""
204154,337980,"floor",20611,"M001137","It is unclear to me how letting any of these people access American finance would be beneficial to the United States or to Libya or to the MENA region. One of the most notable people currently sanctioned under the program is Qadhafi's son, Saif al-Islam Qadhafi.",1,"['Finance and Financial Sector', 'Foreign Trade and International Finance', 'International Affairs']",1,"Discusses sanctions, relating to finance and international policy.",0,0,1,NA,"The text in question is expressing skepticism about a policy regarding sanctions but does not attack the character, integrity, intelligence, morality, or patriotism of Saif al-Islam Qadhafi or any political party. It is a policy criticism rather than a personal attack.",0,0,"Text lacks reference to collaboration or accomplishments.","2023-07-18","Text lacks reference to collaboration or accomplishments.","Text lacks reference to collaboration or accomplishments.",2023,"Gregory","Meeks","NY","rep",1575848827801591808,""
256072,1399348,"statements",14823,"K000383","Senator King uses this interview series to learn and share the stories of the lives, service, and sacrifices of Maine’s veteran community. He has been among the Senate’s most prominent voices on the need to address veterans suicide, and has repeatedly pressed for action from top Department of Defense officials on this issue.",1,"['Armed Forces and National Security']",0,"Discusses veterans' issues, no specific legislation mentioned.",0,0,0,NA,"The text provided is a positive commentary on Senator King's actions regarding veterans' issues and does not contain any personal attacks or policy criticism. It is descriptive of his engagement with the veteran community and his advocacy work to address veterans' suicide.",0,1,"No mention of cross-party efforts; credit for advocacy on veterans' issues.","2024-03-29","No mention of cross-party efforts; credit for advocacy on veterans' issues.","No mention of cross-party efforts; credit for advocacy on veterans' issues.",2024,"Angus","King","ME","sen",1583106108503183360,""
51232,1637922,"statements",17074,"C001088","I urge my colleagues in Congress to support this life-saving legislation and promptly pass it into law.” “It’s simple: the longer the Supreme Court’s decision reversing the ban on bump stocks is allowed to remain the law of the land, the more likely it is that Americans will die in horrific acts of mass violence,” said Senator Coons. “Congress needs to act immediately to reinstate the bump stock ban and keep these dangerous weapons off of our nation’s streets.",1,"[""Crime and Law Enforcement"", ""Armed Forces and National Security""]",NA,"The text discusses the bump stock ban, which relates to crime and law enforcement, and public safety concerns which relate to national security.",NA,0,1,"","The text criticizes the Supreme Court's decision reversing the ban on bump stocks.",0,0,"","2024-06-27","The text does not mention bipartisanship, collaboration, or finding common ground.","The text does not mention any accomplishments or take credit for any legislative actions.",2024,"Christopher","Coons","DE","sen",1570480016282058752,""
100601,359447,"floor",17504,"C000537","Every year, thousands of weapons are purchased through this loophole that otherwise should be prohibited due to criminal records or other factors--more than 5,200 in 2021 alone. Though this problem was discovered too late for the 12 victims at the Emanuel AME Church, we must narrow this loophole to prevent future tragedies.",1,"['Armed Forces and National Security', 'Crime and Law Enforcement']",0,"Discusses the need to change gun policy.",0,0,1,NA,"The text is criticizing a policy issue related to weapons purchases and a loophole, but it does not attack the character, integrity, intelligence, morality, or patriotism of any person or political party. It is focused on discussing the consequences of the loophole and advocating for policy change.",0,0,"No mention of bipartisan efforts or credit.","2023-06-13","No mention of bipartisan efforts or credit.","No mention of bipartisan efforts or credit.",2023,"James","Clyburn","SC","rep",1572693088551972864,""
628547,1667094,"floor",53837,"L000601","This landmark legislation expanded healthcare for veterans exposed to these toxic substances. Since its passage, over 32,000 Ohioans and over 1 million veterans nationwide have had their PACT Act claims granted by the VA. This means that these folks are finally getting the healthcare they deserve.",1,"[""Health"", ""Armed Forces and National Security""]",NA,"The text discusses healthcare for veterans affected by toxic substances and the successful implementation of the PACT Act.",NA,0,0,"","The text does not criticize any individual, party, or policy.",0,1,"","2024-07-09","The text does not discuss collaboration or compromise between Democrats and Republicans.","The text takes credit for the passage of landmark legislation that expanded healthcare for veterans.",2024,"Greg","Landsman","OH","rep",1588603962374389760,""
242640,1686517,"statements",22698,"S001191","Sinema’s bipartisan appropriations legislation invests $93.8 million at Marine Corps Air Station Yuma and $68 million at Yuma Proving Ground. WASHINGTON – The US Senate Appropriations Committee approved bipartisan legislation that Arizona senior Senator Kyrsten Sinema introduced investing $161.8 million in military installations in Yuma.",1,"['Armed Forces and National Security']",NA,"The text discusses legislation that funds military installations in Yuma, indicating a focus on national security and military operations.",NA,0,0,"","The text does not criticize any policy or legislation.",1,1,"","2024-07-12","The text mentions bipartisan legislation introduced by Senator Kyrsten Sinema.","The text highlights Senator Kyrsten Sinema's role in introducing and securing investment through the legislation.",2024,"Kyrsten","Sinema","AZ","sen",1583101096075350016,""
331792,309913,"floor",24486,"T000472","My colleagues may not think about these issues as they relate to veterans. They are too busy giving lip service to half-hearted attempts to cut the deficit that they helped create rather than thinking about the actual consequences of their rhetoric.",1,"['Armed Forces and National Security', 'Economics and Public Finance']",0,"Refers to veterans and deficit, but no specific legislation.",0,0,1,NA,"The text criticizes the actions and priorities of unspecified colleagues, likely in a political context, by stating they focus on 'half-hearted attempts to cut the deficit' instead of considering the impact on veterans. It does not attack their character, integrity, intelligence, morality, or patriotism; instead, it criticizes their policy approach and priorities. The text does not provide enough detail to confidently identify a specific person or political party as the target of the criticism.",0,0,"No mention of cross-party collaboration or accomplishments.","2023-09-26","No mention of cross-party collaboration or accomplishments.","No mention of cross-party collaboration or accomplishments.",2023,"Mark","Takano","CA","rep",1572363327485120512,""
792683,1075903,"newsletters",8265,"C001132","""The 150 or so people who visited the Prescott field office showed the diversity of that territory, asking for assistance with a host of issues, from veterans benefits to a stock that was subject to a trading halt. ""David Drye and Scott Beck came from the tiny community of Crown King high in the Bradshaw Mountains and 26 miles from paved roads.",1,"['Armed Forces and National Security', 'Finance and Financial Sector']",0,"Mentions veterans benefits and financial trading issues.",0,0,0,NA,"The provided text is a descriptive account of an event and does not contain any personal attacks or policy criticism. It simply states facts about the diversity of issues for which people sought assistance and mentions individuals by name without making any derogatory statements or criticism.",0,0,"No mention of collaboration or accomplishments.","2023-04-15","No mention of collaboration or accomplishments.","No mention of collaboration or accomplishments.",2023,"Eli","Crane","AZ","rep",1565783748104404992,""
